"","PDX22","PDX43","PDX59","G83","PDX10","HK281"
"ENSG00000207056.1",0,0,0,0,0,0
"ENSG00000237402.1",8.18,0,0.99,0,0,2.05
"ENSG00000237728.2",0,0,0,0,0,0
"ENSG00000225126.1",0,0,0,0,0,0
"ENSG00000270171.1",0,10.26,0,7.6,4.45,10.25
"ENSG00000270035.1",0,1.03,0,16.16,10.69,22.55
"ENSG00000269978.1",1.02,2.05,0,13.31,7.13,35.88
"ENSG00000049245.13",7418.45,2011.41,6126.78,3608.9,2634.55,5338.75
"ENSG00000269925.1",13.3,6.15,19.74,3.8,7.13,10.25
"ENSG00000049246.15",1239.99,433.87,1180.73,656.77,695.6,695.02
"ENSG00000236266.1",0,0,0,0,3.56,0
"ENSG00000049247.14",8.18,0,0,0,0,0
"ENSG00000049249.9",195.41,0,0,0,86.39,2384.39
"ENSG00000270330.1",0,0,0,0,0,0
"ENSG00000116288.13",10898,9661.12,13306.94,12175.39,4671.46,9455.57
"ENSG00000200344.1",0,0,0,0,0,0
"ENSG00000284747.1",26.6,0,5.92,43.72,3.56,4.1
"ENSG00000284716.1",0,0,0,0,0,0
"ENSG00000116285.13",6872.12,11980.24,6419,17329.73,4516.49,53877.45
"ENSG00000238290.1",10.23,9.23,27.64,17.11,8.02,26.65
"ENSG00000232848.1",0,0,0,0,0,0
"ENSG00000229305.1",0,0,0,0,0,2.05
"ENSG00000227634.3",0,0,0,0.95,0,4.1
"ENSG00000200975.1",0,0,0,0,0,0
"ENSG00000233645.1",0,0,0,0,0,0
"ENSG00000251977.1",0,0,0,0,0,0
"ENSG00000162426.16",28.65,324.12,612.09,103.6,98.86,403.89
"ENSG00000252254.1",0,0,0,2.85,0,0
"ENSG00000142599.19",4939.5,4630.03,8582.03,3221.11,5431.19,6653.95
"ENSG00000232912.6",2.05,1.03,0,0.95,3.56,0
"ENSG00000221083.1",0,0,0,0,0,0
"ENSG00000270282.1",0,0,0,0,0,0
"ENSG00000234619.1",0,0,0,0,0,0
"ENSG00000224315.2",0,0,0,0,0,0
"ENSG00000222511.2",0,0,0,0,0,0
"ENSG00000226545.1",0,0,0,0,0,0
"ENSG00000228423.2",0,0,0,0,0,0
"ENSG00000229716.2",0,0,0,0,0,0
"ENSG00000074800.16",281325.24,183627.88,225858.59,359629.19,44121.06,184778.2
"ENSG00000274258.1",4.09,0,6.91,3.8,0,0
"ENSG00000230679.1",2.05,6.15,12.83,8.55,3.56,6.15
"ENSG00000201725.1",0,0,0,0,0,0
"ENSG00000238249.2",1.02,0,0.99,0.95,0,0
"ENSG00000232208.2",0,0,0,7.6,0,0
"ENSG00000232663.2",0,0,0,0,0,0
"ENSG00000131686.15",4.09,0,15.8,0,0,0
"ENSG00000265141.2",0,0,0,0,0,0
"ENSG00000197241.4",0,0,0,0.95,0,2.05
"ENSG00000142583.18",4.09,2.05,0,1.9,0,4.1
"ENSG00000252404.1",0,0,0,0,0,0
"ENSG00000180758.12",662.96,777.48,47.39,464.77,82.83,1650.42
"ENSG00000228526.7",2.05,45.13,0,0,328.65,64.58
"ENSG00000284357.1",0,0,0,0,0,0
"ENSG00000234546.4",0,18.46,0,0,95.3,0
"ENSG00000049239.13",2470.77,11349.43,6944.21,3637.41,1099.95,10965.55
"ENSG00000171621.14",5236.19,2080.13,42.45,814.54,354.48,6174.21
"ENSG00000284652.1",2.05,7.18,0,3.8,3.56,21.53
"ENSG00000284693.1",42.97,43.08,71.08,68.43,54.33,58.43
"ENSG00000252956.1",0,0,0,0,0,0
"ENSG00000235263.1",0,0,0,0,0,0
"ENSG00000171612.7",0,1137.51,1223.18,1422.84,250.27,736.03
"ENSG00000231181.1",0,2.05,1.97,8.55,3.56,3.08
"ENSG00000188807.13",5214.71,1773.44,2452.29,2843.78,1873.04,2623.24
"ENSG00000171608.16",1578.63,277.97,1448.27,1211.84,128.25,1488.45
"ENSG00000179840.5",0,0,0,0,0,0
"ENSG00000233268.3",0,0,0,0,0,0
"ENSG00000231789.2",33.76,176.42,343.56,484.73,9.8,84.06
"ENSG00000171603.18",14613.87,15076.84,20253.12,12053.73,10935.41,33035.03
"ENSG00000271264.1",0,0,0,0,0,0
"ENSG00000280113.2",0,0,0,0,0,0
"ENSG00000178585.15",440.95,2031.92,5058.59,3154.58,3256.22,1803.16
"ENSG00000223989.1",0,1.03,0,1.9,0.89,0
"ENSG00000285701.1",0,0,0,0,0,0
"ENSG00000162441.12",3023.24,2244.24,2381.21,3251.52,1507.87,2806.74
"ENSG00000228150.1",5.12,0,15.8,7.6,0,2.05
"ENSG00000173614.14",1105.96,740.56,1209.36,714.75,643.94,878.51
"ENSG00000202415.1",9.21,7.18,23.69,4.75,0,0
"ENSG00000283611.2",0,2.05,0,0,0,0
"ENSG00000265521.1",2.05,0,0,0,0,0
"ENSG00000241326.1",0,0,0,0,0,0
"ENSG00000162444.12",0,510.8,31.59,3399.79,17.81,2.05
"ENSG00000130939.20",4850.49,3127.37,2880.75,5464.19,2333.51,7514.02
"ENSG00000224340.1",0,0,0,0,0,0
"ENSG00000233623.2",0,0,0,0,0,2.05
"ENSG00000201746.1",0,0,0,0.95,0,0
"ENSG00000054523.19",6294.07,7790.23,8717.28,7337.55,6979.14,13912.72
"ENSG00000264881.1",0,0,0,0,0,0
"ENSG00000199562.1",0,0,0,0,0,0
"ENSG00000264501.2",0,0,0,0,0,0
"ENSG00000284735.1",0,0,0,0,0,0
"ENSG00000284642.1",15.35,16.41,1.97,15.21,13.36,39.98
"ENSG00000142657.21",15052.78,10674.51,15654.58,24205.35,7611.5,11498.6
"ENSG00000271989.1",2.05,0,5.92,3.8,0,0
"ENSG00000251503.8",0,0,0,0,0,0
"ENSG00000175279.22",75.71,24.62,75.03,73.19,40.97,55.36
"ENSG00000241563.4",5.12,1.03,1.97,1.9,1.78,3.08
"ENSG00000160049.12",7428.68,5333.67,4229.31,9186.19,2212.38,8298.22
"ENSG00000203469.2",0,0,0,0,0.89,4.1
"ENSG00000142655.13",1710.61,1023.65,1369.29,1595.82,858.59,1877.99
"ENSG00000287727.1",0,0,0,0,1.78,0
"ENSG00000243267.3",0,1.03,0,0,0,0
"ENSG00000130940.15",24.55,132.32,199.42,829.75,316.18,505.38
"ENSG00000272078.1",0,2.05,0,0,1.78,0
"ENSG00000225158.2",0,0,0,0,0,0
"ENSG00000175262.14",5.12,4.1,0,0,0,4.1
"ENSG00000215785.2",2.05,0,0,0.95,0,2.05
"ENSG00000120948.19",12075.58,7783.05,6731.95,11938.72,7907.2,7396.13
"ENSG00000009724.17",21.48,4.1,1.97,26.61,10.69,6.15
"ENSG00000116649.10",19806.07,2945.82,5664.75,12004.3,3263.34,6663.18
"ENSG00000171824.14",7811.32,3474.06,3127.56,8248.09,3893.03,5910.75
"ENSG00000226849.1",7.16,14.36,17.77,19.01,7.13,19.48
"ENSG00000230337.1",50.13,5.13,19.74,11.41,25.83,17.43
"ENSG00000198793.13",8312.64,4848.51,7627.38,9669.98,4537.87,14364.79
"ENSG00000225602.5",0,0,0,0,0,0
"ENSG00000253086.1",0,0,0,0,0,0
"ENSG00000171819.5",0,0,0,0,0,0
"ENSG00000207451.1",0,0,0,0,0,0
"ENSG00000238173.1",0,0,0,0,0,0
"ENSG00000120942.14",3387.46,1358.03,1617.09,2465.49,1048.3,2158.87
"ENSG00000238199.1",0,0,0,1.9,0,0
"ENSG00000284646.1",0,0,0,0,0,0
"ENSG00000224338.2",0,0,0,0,0,0
"ENSG00000204624.8",12.28,9.23,3.95,51.32,108.66,25.63
"ENSG00000285833.1",0,0,0,0,0,0
"ENSG00000235643.2",14.32,0,3.95,0,0,4.1
"ENSG00000284708.1",0,0,0,0,0,0
"ENSG00000116661.11",104.36,2807.35,95.76,1748.85,3.56,95.33
"ENSG00000132879.14",444.02,1226.74,869.75,2162.3,508.56,927.72
"ENSG00000116663.11",84.92,274.89,500.53,696.69,93.52,614.04
"ENSG00000116670.15",3398.72,3043.27,2568.78,2681.25,1791.1,4056.34
"ENSG00000162490.7",4.09,333.35,25.67,0,1882.84,382.36
"ENSG00000177674.16",2027.77,657.48,1953.74,2132.83,780.21,2350.57
"ENSG00000215910.7",0,8.21,11.85,0,1.78,0
"ENSG00000177553.6",0,0,0,0,0,0
"ENSG00000177000.13",883.95,3285.33,3164.09,1716.53,1589.81,2135.29
"ENSG00000011021.23",3886.73,3878.19,3042.66,1061.66,2628.31,3767.26
"ENSG00000276470.1",0,0,0,0,0,0
"ENSG00000278852.1",0,0,0,0,0,0
"ENSG00000175206.10",2.05,480.03,0,0,1.78,0
"ENSG00000275915.1",0,0,0,0,0,0
"ENSG00000120937.9",47.06,2.05,0,1.9,3.56,2.05
"ENSG00000224904.1",0,0,0,0,0,0
"ENSG00000285646.2",2.05,4.1,3.95,1.9,8.91,7.18
"ENSG00000199347.1",0,0,0,0,0,0
"ENSG00000201801.1",0,0,0,0,0,1.03
"ENSG00000116685.16",4019.74,6130.64,5950.06,4190.58,1584.47,7208.54
"ENSG00000083444.17",12038.75,54153.12,24546.61,10627.09,2634.55,35421.47
"ENSG00000287384.1",0,0,0,0,0,0
"ENSG00000116688.18",15402.68,7020.95,11296.93,12789.38,5679.68,11885.06
"ENSG00000270914.1",0,0,0,0,0,0
"ENSG00000116691.11",1879.42,1292.39,1158.03,1937.99,724.99,2467.43
"ENSG00000202461.1",0,0,0,0,0,0
"ENSG00000276869.1",0,0,0,0,0,0
"ENSG00000243539.3",0,0,0,0,0,0
"ENSG00000120949.15",14.32,30.77,19.74,3.8,5.34,118.91
"ENSG00000201135.1",0,0,0,0,0,0
"ENSG00000227875.2",0,0,0,0,0,0
"ENSG00000285604.1",0,0,0,0,0,0
"ENSG00000283789.1",0,0,0,0,0,0
"ENSG00000028137.19",384.68,12124.86,11380.84,34.22,123.8,484.87
"ENSG00000263676.1",0,0,0.99,0,0,0
"ENSG00000225196.2",0,0,0,0,0,0
